"genre","movieID1","movieID2","movieID3","movieID4","movieID5","movieID6","movieID7","movieID8","movieID9","movieID10"
"Action","3384","2993","1364","3769","1385","2376","2756","204","9","548"
"Adventure","3172","1254","1931","3492","3036","3207","2895","761","1849","3390"
"Animation","720","2189",NA,NA,NA,NA,NA,NA,NA,NA
"Children's","2846","2047","1426","343","3820",NA,NA,NA,NA,NA
"Comedy","598","1934","2811","927","1202","3387","411","2255","3391","3228"
"Crime","3656","2511","117","2281","3860","3906","732","716","1501","1313"
"Documentary","1147","363","556","2693","549","206","1865","1657","1652","3297"
"Drama","670","3224","3329","3823","2237","3223","2165","2714","601","3641"
"Fantasy","792",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Film-Noir","922","2066","2940","746","3292","1154","3121","2727","1153","3380"
"Horror","2654","3216","3351","2328","366","2464","2783","1623","3908","3493"
"Musical","2565","3606","1035","3675","918","1951","963","1087","3610","2934"
"Mystery","950","2467","1484","2583","1464","652","2945","3149","977",NA
"Romance","28","2721","803","1755","1669","1656","1458","1514","2292","690"
"Sci-Fi","2660","3658","3032","2578","1570","3780","3779","3878","2667","3354"
"Thriller","2819","3798","2180","103","2179","554","200","1427","3291","1430"
"War","2670","632","1450","3339","2669","3066","3670","665","760","3367"
"Western","1266","599","3365","553","2401","3236","3025","383","210","1386"
